benchmark,machine,repetition,test,result
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"bsearch",251.379988
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"cache",2.899969
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"cpu",175.781785
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"crypt",106.468666
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"full",124820.011862
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"heapsort",2.899999
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"hsearch",2754.114315
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"icache",677.523433
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"lockbus",1268749.358877
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"longjmp",64402.052767
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"lsearch",5.500031
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"malloc",2018474.097121
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"matrix",3224.821605
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"memcpy",791.715285
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"mincore",33639.030729
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"mmap",0.69673
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"mremap",13.89881
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"msync",43.892445
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"nop",131532.925469
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,,304131.618825
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"numa",73.364235
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"oom-pipe",0
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"opcode",925.678063
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"qsort",5.19997
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"remap",245.895357
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"resources",1271.361208
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"rmap",1243.491816
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"shm",102.84682
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"shm-sysv",387.256467
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"stack",0
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"stackmmap",3.997742
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"str",12806.661678
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"stream",6.398581
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"tsearch",12.569968
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"vecmath",710.41731
