repetition,benchmark,machine,test,result
1,stressng-cpu,apt131.apt.emulab.net,"tsc",808021.247571
1,stressng-cpu,apt131.apt.emulab.net,"tsearch",15.246121
1,stressng-cpu,apt131.apt.emulab.net,"vecmath",2428.871531















1,stressng-cpu,apt132.apt.emulab.net,"af-alg",11282.631632
1,stressng-cpu,apt132.apt.emulab.net,"atomic",570939.357334
1,stressng-cpu,apt132.apt.emulab.net,"bsearch",351.056601
1,stressng-cpu,apt132.apt.emulab.net,"cpu",207.846666
1,stressng-cpu,apt132.apt.emulab.net,"crypt",108.234457
1,stressng-cpu,apt132.apt.emulab.net,"fp-error",798578.549453
1,stressng-cpu,apt132.apt.emulab.net,"hsearch",3378.768241
1,stressng-cpu,apt132.apt.emulab.net,"longjmp",96446.994303
1,stressng-cpu,apt132.apt.emulab.net,"lsearch",7.200196
1,stressng-cpu,apt132.apt.emulab.net,"matrix",3901.946548
1,stressng-cpu,apt132.apt.emulab.net,"opcode",1089.806686
1,stressng-cpu,apt132.apt.emulab.net,"qsort",7.133725
1,stressng-cpu,apt132.apt.emulab.net,"tsc",808283.198464
1,stressng-cpu,apt132.apt.emulab.net,"tsearch",15.112868
1,stressng-cpu,apt132.apt.emulab.net,"vecmath",2432.269914















1,stressng-cpu,apt134.apt.emulab.net,"af-alg",11239.428823
1,stressng-cpu,apt134.apt.emulab.net,"atomic",572056.319291
1,stressng-cpu,apt134.apt.emulab.net,"bsearch",350.769414
1,stressng-cpu,apt134.apt.emulab.net,"cpu",208.188913
1,stressng-cpu,apt134.apt.emulab.net,"crypt",101.062469
1,stressng-cpu,apt134.apt.emulab.net,"fp-error",864806.662572
1,stressng-cpu,apt134.apt.emulab.net,"hsearch",3380.489664
1,stressng-cpu,apt134.apt.emulab.net,"longjmp",95840.384276
1,stressng-cpu,apt134.apt.emulab.net,"lsearch",7.200166
1,stressng-cpu,apt134.apt.emulab.net,"matrix",3909.926887
1,stressng-cpu,apt134.apt.emulab.net,"opcode",1130.086246
1,stressng-cpu,apt134.apt.emulab.net,"qsort",7.06705
1,stressng-cpu,apt134.apt.emulab.net,"tsc",808060.842953
1,stressng-cpu,apt134.apt.emulab.net,"tsearch",15.044899
1,stressng-cpu,apt134.apt.emulab.net,"vecmath",2432.187649















1,stressng-cpu,dwill.soe.ucsc.edu,"af-alg",13236.562775
1,stressng-cpu,dwill.soe.ucsc.edu,"atomic",657102.723658
1,stressng-cpu,dwill.soe.ucsc.edu,"bsearch",403.667661
1,stressng-cpu,dwill.soe.ucsc.edu,"cpu",242.672176
1,stressng-cpu,dwill.soe.ucsc.edu,"crypt",124.156826
1,stressng-cpu,dwill.soe.ucsc.edu,"fp-error",954559.122553
1,stressng-cpu,dwill.soe.ucsc.edu,"hsearch",4012.530317
1,stressng-cpu,dwill.soe.ucsc.edu,"longjmp",110823.421368
1,stressng-cpu,dwill.soe.ucsc.edu,"lsearch",8.33356
1,stressng-cpu,dwill.soe.ucsc.edu,"matrix",4560.646779
1,stressng-cpu,dwill.soe.ucsc.edu,"opcode",1689.834785
1,stressng-cpu,dwill.soe.ucsc.edu,"qsort",8.133568
1,stressng-cpu,dwill.soe.ucsc.edu,"tsc",927912.311525
1,stressng-cpu,dwill.soe.ucsc.edu,"tsearch",18.797071
1,stressng-cpu,dwill.soe.ucsc.edu,"vecmath",2781.886621















1,stressng-cpu,issdm-0,"af-alg",19592.679349
1,stressng-cpu,issdm-0,"atomic",532610.841415
1,stressng-cpu,issdm-0,"bsearch",172.940805
1,stressng-cpu,issdm-0,"cpu",72.220854
1,stressng-cpu,issdm-0,"crypt",72.498027
1,stressng-cpu,issdm-0,"fp-error",515194.583415
1,stressng-cpu,issdm-0,"hsearch",1186.443517
1,stressng-cpu,issdm-0,"longjmp",48874.420219
1,stressng-cpu,issdm-0,"lsearch",4.267423
1,stressng-cpu,issdm-0,"matrix",1843.515347
1,stressng-cpu,issdm-0,"opcode",1183.924562
